,all_caps_sent,all_caps_word_cnt,diversity_score,frac_non_stop_words,frac_unusual,is_all_lower,is_capitalized,num_chars,vocab_size,word_count,word_to_char_frac
0,False,1,1.3846153846153846,0.6666666666666666,0.0,False,True,73,12,18,4.055555555555555
1,False,0,1.05,0.5238095238095238,0.09523809523809523,False,True,79,20,21,3.761904761904762
2,False,0,1.1851851851851851,0.6875,0.09375,False,True,155,27,32,4.84375
3,False,0,1.0,0.5555555555555556,0.0,False,True,35,9,9,3.888888888888889
4,False,0,1.0,0.5,0.09090909090909091,False,True,86,21,22,3.909090909090909
5,False,1,1.2608695652173914,0.5862068965517241,0.034482758620689655,False,True,93,22,29,3.206896551724138
6,False,0,1.0,1.0,0.25,False,True,15,4,4,3.75
7,False,0,1.0625,0.6470588235294118,0.058823529411764705,False,True,63,16,17,3.7058823529411766
8,False,1,1.0,0.75,0.0,False,True,16,4,4,4.0
9,False,0,1.1,0.6363636363636364,0.09090909090909091,False,True,48,10,11,4.363636363636363
10,False,0,1.0,0.5714285714285714,0.14285714285714285,False,True,29,7,7,4.142857142857143
11,False,0,1.0555555555555556,0.5789473684210527,0.05263157894736842,False,True,62,18,19,3.263157894736842
12,False,0,1.3333333333333333,0.4166666666666667,0.16666666666666666,False,True,48,9,12,4.0
13,False,0,1.0,0.4,0.0,False,True,12,5,5,2.4
14,False,0,1.1176470588235294,0.5789473684210527,0.05263157894736842,False,True,73,17,19,3.8421052631578947
15,False,0,1.0,0.45454545454545453,0.0,False,True,77,21,22,3.5
16,False,2,1.0,0.6521739130434783,0.08695652173913043,False,True,89,23,23,3.869565217391304
17,False,1,1.28,0.625,0.125,False,True,137,25,32,4.28125
18,False,1,1.1666666666666667,0.5238095238095238,0.14285714285714285,False,True,76,18,21,3.619047619047619
19,False,0,1.125,0.5,0.05555555555555555,False,False,77,15,18,4.277777777777778
20,False,1,1.0666666666666667,0.5625,0.0625,False,True,75,15,16,4.6875
21,False,0,1.0526315789473684,0.55,0.1,False,True,75,19,20,3.75
22,False,0,1.0,0.4117647058823529,0.0,False,True,65,17,17,3.823529411764706
23,False,0,1.0,0.6666666666666666,0.0,False,True,64,15,15,4.266666666666667
24,False,0,1.0909090909090908,0.6666666666666666,0.041666666666666664,False,True,113,22,24,4.708333333333333
25,False,0,1.0,0.75,0.25,False,True,37,8,8,4.625
26,False,0,1.1,0.5454545454545454,0.0,False,True,38,10,11,3.4545454545454546
27,False,1,1.0909090909090908,0.5833333333333334,0.0,False,True,40,11,12,3.3333333333333335
28,False,0,1.0,0.8,0.2,False,True,21,5,5,4.2
29,False,0,1.0,0.5,0.0,False,True,17,6,6,2.8333333333333335
30,False,0,1.1333333333333333,0.6470588235294118,0.11764705882352941,False,True,73,15,17,4.294117647058823
31,False,0,1.0,0.5714285714285714,0.0,False,True,25,7,7,3.5714285714285716
32,False,0,1.1,0.45454545454545453,0.0,False,True,41,10,11,3.727272727272727
33,False,0,1.1111111111111112,0.6,0.0,False,True,38,9,10,3.8
34,False,0,1.0,0.6666666666666666,0.0,False,True,24,6,6,4.0
35,False,0,1.0769230769230769,0.5714285714285714,0.0,False,True,39,13,14,2.7857142857142856
36,False,0,1.0,0.75,0.25,False,True,14,4,4,3.5
37,False,0,1.7142857142857142,0.6666666666666666,0.0,False,True,28,7,12,2.3333333333333335
38,False,2,1.0,0.6666666666666666,0.0,False,True,19,6,6,3.1666666666666665
39,False,0,1.0,0.4444444444444444,0.1111111111111111,False,True,37,9,9,4.111111111111111
40,False,1,1.1,0.5757575757575758,0.030303030303030304,False,True,134,30,33,4.0606060606060606
41,False,1,1.0,0.5555555555555556,0.1111111111111111,False,True,29,9,9,3.2222222222222223
42,False,2,1.2307692307692308,0.5833333333333334,0.020833333333333332,False,True,177,38,48,3.6875
43,False,0,1.0,0.375,0.0,False,True,20,8,8,2.5
44,False,0,1.0,0.5454545454545454,0.09090909090909091,False,True,39,11,11,3.5454545454545454
45,False,0,1.0909090909090908,0.75,0.041666666666666664,False,True,90,22,24,3.75
46,False,0,1.0,0.4444444444444444,0.0,False,True,39,9,9,4.333333333333333
47,False,1,1.3103448275862069,0.4473684210526316,0.07894736842105263,False,True,151,28,38,3.973684210526316
